"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,4
"GM",175,18,293,262
"Tolerant",0,0,1,36
"Vulnerable",109,51,2606,749
"Unclassified",200,67,530,18506
