"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",111,0,182,1033,902
"GM",12,0,4,43,22
"Tolerant",324,0,920,2658,4012
"Vulnerable",974,0,809,27004,4780
"Unclassified",1814,3,1984,26769,23187
