"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,22,50,4,333
"GM",12,55073,757081,34291,28076
"Tolerant",36,764465,310556,139376,30981
"Vulnerable",10,63608,152163,24728,10832
"Unclassified",19,16984,29039,5335,46602
