"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,24,78,675
"GM",0,0,1,10,26
"Tolerant",0,0,113,191,778
"Vulnerable",30,4,262,11573,42276
"Unclassified",144,2,406,17719,66200
