"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",11,6,4,8
"GM",46373,48847,2137,6564
"Tolerant",48409,6153,1639,2230
"Vulnerable",2065,1151,33723,43239
"Unclassified",7544,2261,28731,81435
