"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",3424,3353,2163,41,14254
"GM",2394,8111,5609,38,5579
"Tolerant",1242,9413,2357,14,5502
"Vulnerable",54,50,33,1,4973
"Unclassified",4640,3115,2848,169,31043
