"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",927,73819,20891,2415
"Tolerant",23608,281744,96029,26201
"Vulnerable",619,53411,35788,12416
"Unclassified",4955,35195,32911,106584
