"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,5
"GM",4090,6182,1022,4032
"Tolerant",8486,7450,1952,7810
"Vulnerable",2654,4158,65819,78041
"Unclassified",3820,8718,57264,126156
