"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,1,1,1
"GM",360,9071,43642,4962,1957
"Tolerant",477,61510,66855,14580,6932
"Vulnerable",137,3387,14888,36845,4991
"Unclassified",13,3089,5025,5914,66299
