"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1736,669,1778,8151
"Tolerant",468,10628,14325,16391
"Vulnerable",1729,27383,429799,148694
"Unclassified",7379,14491,124045,184578
