"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",9,1,6,0,68
"GM",0,0,0,0,3
"Tolerant",221,2,60,1,100
"Vulnerable",0,0,4,9,62
"Unclassified",183,13,494,91,21913
