"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1080,2496,6120,372,84
"GM",755,53407,443117,4698,632
"Tolerant",1977,507551,122901,10690,1117
"Vulnerable",226,5032,11320,40209,6448
"Unclassified",28,18473,16864,38574,225943
