"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,3,0,14
"GM",4,40664,22837,14000
"Tolerant",0,13845,1328,4203
"Vulnerable",0,1,0,1
"Unclassified",30,7639,2436,115434
