"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",12030,84415,1163,4539
"Tolerant",61644,1605457,12891,45707
"Vulnerable",2893,11976,12698,21579
"Unclassified",12955,193874,42977,207365
