"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",52601,58889,1494,64139
"Tolerant",69038,40310,14438,38490
"Vulnerable",3623,14078,125139,54829
"Unclassified",99176,37529,60691,264963
