"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1277,1196,2022,8702
"Tolerant",465,41737,31611,7190
"Vulnerable",537,37458,76232,22799
"Unclassified",4961,4327,19712,69463
