"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",35671,834835,16027,20563
"Tolerant",827381,175715,93060,17801
"Vulnerable",16385,79861,30545,38050
"Unclassified",34823,42059,45189,673779
