"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",2302,512,2823,3647,3965
"GM",1013,962,12970,2131,328
"Tolerant",6754,14603,69527,27939,6286
"Vulnerable",5582,2020,25435,214516,47864
"Unclassified",8000,1398,11987,72498,263034
