"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",62765,14927,14107,82,17714
"GM",52272,303545,257877,83,8612
"Tolerant",13792,276511,187051,26,5650
"Vulnerable",205,28,28,3,755
"Unclassified",28692,12441,9102,615,58718
