"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",0,0,0,307
"GM",0,0,0,21
"Tolerant",3,0,0,1285
"Vulnerable",0,0,0,4510
"Unclassified",39,3,29,17851
