"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",7785,1163,988,4576
"Tolerant",1414,45753,29410,7317
"Vulnerable",1043,16710,95130,15700
"Unclassified",7651,13650,32172,155022
