"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4872,3095,2111,4561,42374
"GM",2953,12801,7069,1855,13666
"Tolerant",3180,6232,4176,3255,22631
"Vulnerable",2844,3387,1487,12576,20006
"Unclassified",6040,4489,2823,7622,32140
