"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",30461,380031,3642,19517
"Tolerant",386210,294939,44742,33884
"Vulnerable",2922,30928,194088,78185
"Unclassified",21100,38129,89848,1043796
