"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",25,52,2,33
"GM",13982,588100,982,992
"Tolerant",607213,226687,3156,2569
"Vulnerable",595,2157,2580,370
"Unclassified",1154,1347,207,63021
