"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",6128,402871,29317,173
"GM",0,19,1,0
"Tolerant",511285,866700,321607,69058
"Vulnerable",28363,370279,222804,24880
"Unclassified",1285,115871,275674,433087
