"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",5701,304,1657,4091,1591
"GM",952,4656,15641,2926,171
"Tolerant",2933,15324,58059,15567,1779
"Vulnerable",1872,973,13498,94682,21830
"Unclassified",4828,1576,10763,30364,170018
