"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1568,1790,289,3189
"Tolerant",3289,3427,9008,6990
"Vulnerable",846,3956,61910,29114
"Unclassified",1991,3442,120224,459728
