"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",18566,89,202389,236,531
"GM",62,300,21664,3,0
"Tolerant",221287,20867,675076,2107,2894
"Vulnerable",423,11,1428,6683,1084
"Unclassified",3735,0,8261,3100,83951
