"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",54,219,620,864
"Tolerant",655,31546,32821,18532
"Vulnerable",1176,28397,64732,42250
"Unclassified",1986,19261,61520,176128
