"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1816,4439,4190,43,1971
"GM",4233,92292,38670,7266,10527
"Tolerant",1377,39054,9548,3076,4152
"Vulnerable",559,8738,3345,2045,681
"Unclassified",2109,9568,10116,778,9535
