"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,0,0,0
"GM",3,20919,21978,423,1528
"Tolerant",0,21165,2550,346,706
"Vulnerable",3,891,443,66575,17568
"Unclassified",5,2389,1104,25557,84551
