"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",17634,6672,5196,17595
"Tolerant",8329,329670,173580,9709
"Vulnerable",3241,162987,328241,35952
"Unclassified",20284,20443,49240,113351
