"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",11,1,4,1614
"GM",0,0,0,234
"Tolerant",2,0,414,5467
"Vulnerable",0,0,0,97
"Unclassified",91,269,764,8185
