"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",3946,35637,987,3307
"Tolerant",41429,74196,26633,7199
"Vulnerable",5025,22417,115717,1884
"Unclassified",41304,42708,83765,95259
