"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",66435,2137,15544,16406
"Tolerant",1974,21763,44888,961
"Vulnerable",15025,37853,606481,39763
"Unclassified",27483,5095,219541,370539
