"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",15,92,1,54
"GM",12714,273963,678,12252
"Tolerant",278182,101192,2059,17725
"Vulnerable",442,2231,9694,3335
"Unclassified",10476,13403,7197,95462
