"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,5,1,40
"GM",2,10444,259674,1054,16665
"Tolerant",11,264170,145080,4562,55080
"Vulnerable",9,561,3850,1686,2404
"Unclassified",39,12082,22415,15072,26260
