"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4,2,0,1
"GM",22373,353758,1117,20138
"Tolerant",361460,161030,3325,31241
"Vulnerable",552,2190,5003,3924
"Unclassified",27396,46192,11815,53614
