"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",270,320,1331,2922,9212
"GM",4032,7866,45348,3090,2157
"Tolerant",41552,37039,143869,11969,9585
"Vulnerable",4398,3376,16234,217077,297855
"Unclassified",5958,4795,18600,137805,359438
