"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,24,11,6,18
"GM",77,33300,139691,12869,6764
"Tolerant",319,182434,196075,51975,18065
"Vulnerable",100,7127,42371,12820,12002
"Unclassified",453,10149,14049,10554,69745
