"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",1608,8552,2569,15290
"Tolerant",6924,13619,6526,37677
"Vulnerable",1131,7659,93958,314256
"Unclassified",3517,7163,31494,295608
