"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",4,0,1,12
"GM",3592,2748,613,858
"Tolerant",4158,1837,276,686
"Vulnerable",304,205,11366,24551
"Unclassified",1860,1358,21352,55237
