"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",391,1330,1108,1167,1251
"GM",188,3165,7380,960,521
"Tolerant",131,4383,1571,444,441
"Vulnerable",85,774,643,31405,1825
"Unclassified",163,713,372,4694,61802
