"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,1,49,14,325
"GM",620,16166,140599,13912,16859
"Tolerant",2556,150286,314760,73137,100018
"Vulnerable",86,2428,63271,99351,45854
"Unclassified",578,9257,47281,45408,214374
