"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",58,10345,6738,1,12792
"GM",284,106368,186592,16,77697
"Tolerant",11,156675,32222,32,50328
"Vulnerable",2,5494,2886,7,77200
"Unclassified",105,19426,12956,8,226104
