"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",22692,1373,839,1485,18512
"GM",2150,3217,588,533,1203
"Tolerant",1442,179,892,374,919
"Vulnerable",1243,865,780,424,691
"Unclassified",21560,1139,898,1423,78897
