"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",253,485,763,336,2527
"GM",536,95983,247964,9230,16456
"Tolerant",1199,244741,131683,10070,25834
"Vulnerable",290,7326,14867,40605,18633
"Unclassified",2316,17801,25603,18566,145882
