"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",240,228,749,2977,8389
"GM",38,662,1752,413,238
"Tolerant",315,1583,8442,2573,1662
"Vulnerable",811,450,2770,229880,55811
"Unclassified",2687,504,1445,52105,173490
