state,county,year,NonCrop,GM,Tolerant,Vulnerable,Unclassified,total
Kentucky,Trimble,2009,350,15558,3198,16649,49688,85443
Kentucky,Trimble,2010,0,14373,1443,19165,50462,85443
Kentucky,Trimble,2011,0,10681,2490,586,71686,85443
Minnesota,Waseca,2009,10,404363,518133,8109,80979,1011594
Kentucky,Trimble,2012,0,10841,3880,391,70331,85443
Kentucky,Trimble,2013,2,11981,3708,8098,61654,85443
Minnesota,Waseca,2010,6,385243,524752,9315,92278,1011594
Nebraska,York,2009,244,450509,926459,9562,94257,1481031
Ohio,Logan,2009,303,409212,348147,19204,119490,896356
Kentucky,Trimble,2014,0,16967,3824,4312,60340,85443
Florida,Gilchrist,2009,7081,376,27541,90803,220412,346213
Minnesota,Waseca,2011,110,373156,562708,20234,55386,1011594
Indiana,Owen,2009,3533,101936,79153,10776,71305,266703
Kentucky,Trimble,2015,8,20827,4806,16265,43537,85443
Missouri,Buchanan,2009,2810,250486,213204,29771,132559,628830
Kentucky,Trimble,2016,21,18691,7025,14274,45432,85443
North Carolina,Person,2009,4766,44129,20189,23226,218827,311137
Ohio,Logan,2010,809,398933,343137,29900,123577,896356
Minnesota,Waseca,2012,5,346816,584406,18466,61901,1011594
Nebraska,York,2010,345,457555,901991,8066,113074,1481031
Virginia,Greensville,2009,17546,129959,11341,11799,27212,197857
Indiana,Owen,2010,69,82234,87968,4652,91780,266703
Florida,Gilchrist,2010,14765,292,19890,96012,215254,346213
Kentucky,Trimble,2017,0,27200,4054,14937,39252,85443
Missouri,Buchanan,2010,8,227298,182117,9,219398,628830
Ohio,Logan,2011,762,409538,311149,29340,145567,896356
Minnesota,Waseca,2013,50,373181,538062,31917,68384,1011594
Kentucky,Trimble,2018,5,24216,5587,18903,36732,85443
Nebraska,York,2011,350,446783,937154,9793,86951,1481031
North Carolina,Person,2010,32337,62208,20137,36926,159529,311137
Indiana,Owen,2011,130,100269,80444,731,85129,266703
Florida,Gilchrist,2011,16903,932,24331,46501,257546,346213
Missouri,Buchanan,2011,194,221398,195203,1112,210923,628830
Virginia,Greensville,2010,4069,108986,16869,8556,59377,197857
Ohio,Logan,2012,235,375740,363229,29722,127430,896356
Minnesota,Waseca,2014,42,388671,552610,18928,51343,1011594
North Carolina,Person,2011,37491,65071,21168,44374,143033,311137
Indiana,Owen,2012,25,85215,102555,7735,71173,266703
Nebraska,York,2012,158,430899,968710,12459,68805,1481031
Florida,Gilchrist,2012,19220,243,13413,133861,179476,346213
Missouri,Buchanan,2012,127,247533,191970,19216,169984,628830
Virginia,Greensville,2011,4690,91340,5221,10722,85884,197857
Ohio,Logan,2013,322,386629,353288,27312,128805,896356
Indiana,Owen,2013,72,102163,81304,8795,74369,266703
North Carolina,Person,2012,50173,54517,20542,93800,92105,311137
Minnesota,Waseca,2015,435,379975,559776,18063,53345,1011594
Florida,Gilchrist,2013,17571,2971,30210,129693,165768,346213
Nebraska,York,2013,525,381355,1009957,12289,76905,1481031
Missouri,Buchanan,2013,129,229109,218364,17075,164153,628830
Ohio,Logan,2014,470,396982,349910,34498,114496,896356
Indiana,Owen,2014,15,96115,90507,8149,71917,266703
North Carolina,Person,2013,84652,60644,27404,77094,61343,311137
Minnesota,Waseca,2016,365,372399,568850,15414,54566,1011594
Virginia,Greensville,2012,5159,95854,6565,11287,78992,197857
Florida,Gilchrist,2014,21782,2198,33923,121995,166315,346213
Nebraska,York,2014,217,481580,913183,15483,70568,1481031
Ohio,Logan,2015,3830,417563,345181,32829,96953,896356
Alabama,Autauga,2009,11148,38578,19149,97104,190802,356781
Indiana,Owen,2015,351,113359,81617,6051,65325,266703
Missouri,Buchanan,2014,255,266938,191630,19027,150980,628830
Minnesota,Waseca,2017,65,427617,515478,16211,52223,1011594
Georgia,Dodge,2009,148181,83831,22122,55307,118453,427894
Florida,Gilchrist,2015,15321,476,38367,118607,173442,346213
Virginia,Greensville,2013,10601,94662,9741,11492,71361,197857
North Carolina,Person,2014,32247,82341,18640,81936,95973,311137
Kentucky,Boyd,2009,37,278,721,1494,14770,17300
Ohio,Logan,2016,2640,404524,358751,33466,96975,896356
Indiana,Owen,2016,375,105518,91901,6862,62047,266703
Missouri,Buchanan,2015,99118,170347,200098,18428,140839,628830
Nebraska,York,2015,822,463346,943990,11686,61187,1481031
Minnesota,Waseca,2018,677,398211,541306,21185,50215,1011594
Kentucky,Boyd,2010,0,21,113,2259,14907,17300
Florida,Gilchrist,2016,61784,196,29708,114717,139808,346213
Illinois,Fulton,2009,19424,455161,622079,8168,321308,1426140
Virginia,Greensville,2014,16852,95091,4774,13175,67965,197857
North Carolina,Person,2015,40893,82888,16896,51366,119094,311137
Alabama,Autauga,2010,4526,49582,6865,103874,191934,356781
West Virginia,Pendleton,2009,73,471,11382,71134,103627,186687
Kentucky,Boyd,2011,0,313,261,3,16723,17300
Missouri,Buchanan,2016,866,269421,217651,28041,112851,628830
Ohio,Logan,2017,109,438440,327905,30396,99506,896356
Indiana,Owen,2017,24,115970,85885,5353,59471,266703
Nebraska,York,2016,1428,423563,985928,9608,60504,1481031
Kentucky,Boyd,2012,0,159,386,9,16746,17300
Georgia,Dodge,2010,66832,83911,8419,33298,235434,427894
North Carolina,Person,2016,35379,82820,23417,48882,120639,311137
Florida,Gilchrist,2017,8216,150,30271,149734,157842,346213
Kansas,Logan,2009,514850,951,1002067,7356,130579,1655803
Texas,Hunt,2009,12676,51369,189622,159175,401621,814463
Arkansas,Madison,2009,0,4,994,13220,61530,75748
Kentucky,Boyd,2013,0,227,415,549,16109,17300
Virginia,Greensville,2015,2210,112395,6957,14834,61461,197857
Indiana,Owen,2018,29,113978,89045,9121,54530,266703
Ohio,Logan,2018,217,443354,323703,39893,89189,896356
Missouri,Buchanan,2017,39,273658,208206,25081,121846,628830
Kentucky,Boyd,2014,0,539,118,700,15943,17300
Alabama,Autauga,2011,602,40485,10697,35574,269423,356781
North Carolina,Person,2017,24661,78804,42359,57107,108206,311137
Florida,Gilchrist,2018,2513,57,28073,198904,116666,346213
West Virginia,Pendleton,2010,62,362,8617,34959,142687,186687
Nebraska,York,2017,58,493915,918899,11100,57059,1481031
Kentucky,Boyd,2015,34,725,322,6253,9966,17300
Virginia,Greensville,2016,5900,103746,18680,9427,60104,197857
Illinois,Fulton,2010,809,424616,663819,11416,325480,1426140
Georgia,Dodge,2011,82502,89596,14072,33639,208085,427894
Missouri,Buchanan,2018,11,276560,213771,29676,108812,628830
Kentucky,Boyd,2016,0,290,400,3468,13142,17300
Texas,Hunt,2010,23720,71137,166302,403,552901,814463
North Carolina,Person,2018,35810,69346,30157,69837,105987,311137
Nebraska,York,2018,24,499466,915996,11414,54131,1481031
Arkansas,Madison,2010,1,0,818,15,74914,75748
Kentucky,Boyd,2017,0,298,759,4311,11932,17300
Kansas,Logan,2010,490577,2589,1032088,5223,125326,1655803
Virginia,Greensville,2017,341,103579,14970,14370,64597,197857
Alabama,Autauga,2012,5063,40441,10888,90422,209967,356781
Kentucky,Boyd,2018,0,367,272,6985,9676,17300
West Virginia,Pendleton,2011,78,272,8871,35983,141483,186687
Illinois,Fulton,2011,120,457469,739119,152310,77122,1426140
Georgia,Dodge,2012,79293,79845,17533,44433,206790,427894
Virginia,Greensville,2018,333,110981,12776,13580,60187,197857
Texas,Hunt,2011,10988,59455,244846,1764,497410,814463
Alabama,Autauga,2013,3049,36336,10314,76772,230310,356781
Arkansas,Madison,2011,0,534,540,4,74670,75748
West Virginia,Pendleton,2012,50,387,10124,37225,138901,186687
Kansas,Logan,2011,508682,1074,993701,9496,142850,1655803
Georgia,Dodge,2013,110338,79779,25294,67625,144858,427894
Illinois,Fulton,2012,16,431272,675121,9682,310049,1426140
Minnesota,Red Lake,2009,25975,321399,299165,106054,243550,996143
Alabama,Autauga,2014,7553,43936,7885,112172,185235,356781
Texas,Hunt,2012,7612,32938,290788,1102,482023,814463
Arkansas,Madison,2012,0,4,551,6,75187,75748
West Virginia,Pendleton,2013,163,388,9978,79111,97047,186687
Massachusetts,Barnstable,2009,805,0,968,17375,30497,49645
Minnesota,Red Lake,2010,4082,326909,303208,74529,287415,996143
Kansas,Logan,2012,478093,467,1044428,9192,123623,1655803
Georgia,Dodge,2014,82174,85750,17904,75021,167045,427894
Kentucky,Carlisle,2009,2156,148958,98768,24084,63673,337639
North Carolina,Chowan,2009,1547,170253,43516,15647,28040,259003
Alabama,Autauga,2015,17268,49140,8071,118189,164113,356781
Minnesota,Red Lake,2011,1293,353995,336664,117691,186500,996143
Illinois,Fulton,2013,5863,476665,587675,10777,345160,1426140
Arkansas,Madison,2013,210,62,618,221,74637,75748
Ohio,Morrow,2009,689,325049,247640,22271,108048,703697
West Virginia,Pendleton,2014,79,663,9806,88517,87622,186687
Texas,Hunt,2013,5401,21999,232665,156133,398265,814463
Kentucky,Carlisle,2010,0,130835,123887,5442,77475,337639
North Carolina,Chowan,2010,1406,168656,34725,15446,38770,259003
Kentucky,Carlisle,2011,0,120237,110867,101,106434,337639
Alabama,Autauga,2016,11156,49803,9528,139065,147229,356781
Indiana,Jefferson,2009,8574,137704,51453,7293,102886,307910
Kansas,Logan,2013,475270,915,1068940,2777,107901,1655803
Minnesota,Red Lake,2012,507,335504,356536,122556,181040,996143
Georgia,Dodge,2015,82436,83469,29588,74192,158209,427894
Ohio,Morrow,2010,598,304371,253208,17821,127699,703697
Kentucky,Carlisle,2012,1,120343,132289,344,84662,337639
North Carolina,Chowan,2011,289,146716,30907,16262,64829,259003
Arkansas,Madison,2014,0,2,621,278,74847,75748
West Virginia,Pendleton,2015,185,375,11660,105456,69011,186687
Illinois,Fulton,2014,273,484541,627320,10188,303818,1426140
Texas,Hunt,2014,3897,31742,228333,152508,397983,814463
Kentucky,Carlisle,2013,0,143074,105100,13373,76092,337639
Indiana,Jefferson,2010,134,121353,69427,4743,112253,307910
Minnesota,Red Lake,2013,9248,371625,345471,115543,154256,996143
North Carolina,Chowan,2012,2009,145130,39769,19208,52887,259003
Massachusetts,Barnstable,2010,558,0,775,21591,26721,49645
Alabama,Autauga,2017,5070,48034,6884,157361,139432,356781
Ohio,Morrow,2011,895,288166,249985,15779,148872,703697
Kentucky,Carlisle,2014,0,129276,124886,5208,78269,337639
Georgia,Dodge,2016,90039,82804,26254,68870,159927,427894
Missouri,Cedar,2009,99,24196,13393,60209,168116,266013
Kansas,Logan,2014,531768,617,935081,2196,186141,1655803
Minnesota,Red Lake,2014,9657,401570,335988,138898,110030,996143
North Carolina,Chowan,2013,3467,144816,46031,12835,51854,259003
Nebraska,Greeley,2009,1263,155182,347895,38937,143296,686573
Arkansas,Madison,2015,7,290,1020,29526,44905,75748
Indiana,Jefferson,2011,86,145538,73785,1011,87490,307910
Kentucky,Carlisle,2015,9029,153935,108664,4693,61318,337639
Texas,Freestone,2009,2242,3335,6637,10428,98316,120958
Pennsylvania,Bradford,2009,14362,4094,126233,647711,384409,1176809
Texas,Hunt,2015,39644,31245,203965,73903,465706,814463
Illinois,Fulton,2015,4937,477673,654721,13196,275613,1426140
Ohio,Morrow,2012,1069,303137,256184,21434,121873,703697
West Virginia,Pendleton,2016,435,718,10240,103474,71820,186687
Kentucky,Carlisle,2016,2836,139072,134554,5361,55816,337639
North Carolina,Chowan,2014,1444,147767,39034,16760,53998,259003
Missouri,Cedar,2010,2,20610,11122,39,234240,266013
Minnesota,Red Lake,2015,7475,412392,389059,120761,66456,996143
Nebraska,Greeley,2010,331,160581,318517,27126,180018,686573
Alabama,Autauga,2018,2966,54068,8203,157630,133914,356781
Kentucky,Carlisle,2017,4665,165069,105058,7145,55702,337639
Georgia,Dodge,2017,30212,84228,40567,112075,160812,427894
North Carolina,Chowan,2015,1482,159254,37754,12445,48068,259003
Ohio,Morrow,2013,1213,278265,282922,19779,121518,703697
Indiana,Jefferson,2012,70,136104,85529,7561,78646,307910
Kansas,Logan,2015,470847,722,1086130,1774,96330,1655803
Missouri,Cedar,2011,4,27479,13198,30,225302,266013
Arkansas,Madison,2016,11,151,1330,24664,49592,75748
Kentucky,Carlisle,2018,2345,155213,122850,5993,51238,337639
Minnesota,Red Lake,2016,4904,426237,379867,122744,62391,996143
Nebraska,Greeley,2011,421,158249,356100,44918,126885,686573
Massachusetts,Barnstable,2011,1394,0,1330,9073,37848,49645
Texas,Hunt,2016,105212,63744,115283,76594,453630,814463
West Virginia,Pendleton,2017,51,678,10899,113615,61444,186687
North Carolina,Chowan,2016,13510,133795,46114,19065,46519,259003
Florida,Gulf,2009,587,1247,435,940,21158,24367
Illinois,Fulton,2016,23,511731,625856,10060,278470,1426140
Ohio,Morrow,2014,966,324463,238182,26076,114010,703697
Minnesota,Red Lake,2017,2299,453335,357467,113355,69687,996143
Indiana,Jefferson,2013,73,149171,70458,5585,82623,307910
Georgia,Dodge,2018,1689,112356,34772,116483,162594,427894
Missouri,Cedar,2012,31,29312,19113,59437,158120,266013
Arkansas,Madison,2017,0,324,1062,22837,51525,75748
North Carolina,Chowan,2017,2970,147777,34849,24788,48619,259003
Nebraska,Greeley,2012,410,167330,361804,46023,111006,686573
Kansas,Logan,2016,446886,181,1117184,1374,90178,1655803
Ohio,Morrow,2015,776,316559,270378,22752,93232,703697
Minnesota,Red Lake,2018,644,388116,425853,112974,68556,996143
Texas,Hunt,2017,7536,66883,190225,98293,451526,814463
Texas,Freestone,2010,884,1186,6033,51,112804,120958
Pennsylvania,Bradford,2010,9897,3280,129941,645213,388478,1176809
Indiana,Jefferson,2014,4,149439,71932,5297,81238,307910
West Virginia,Pendleton,2018,113,1042,11139,111087,63306,186687
Florida,Gulf,2010,3,0,0,0,24364,24367
North Carolina,Chowan,2018,1537,159689,31893,18415,47469,259003
Missouri,Cedar,2013,11,30528,17336,53679,164459,266013
Illinois,Fulton,2017,63,542176,598701,14340,270860,1426140
Nebraska,Greeley,2013,574,160254,364701,59513,101531,686573
Ohio,Morrow,2016,1939,341638,238136,28191,93793,703697
Virginia,Hanover,2009,8605,132986,55057,61653,117028,375329
Arkansas,Madison,2018,82,139,1100,25234,49193,75748
Indiana,Jefferson,2015,73,174051,63058,8927,61801,307910
Missouri,Cedar,2014,10,31071,20351,54305,160276,266013
Massachusetts,Barnstable,2012,343,0,594,21155,27553,49645
Florida,Gulf,2011,4132,1543,5757,921,12014,24367
Nebraska,Greeley,2014,444,193916,317701,58661,115851,686573
Kansas,Logan,2017,444954,504,1116442,5243,88660,1655803
Texas,Hunt,2018,3041,96053,187023,108541,419805,814463
Ohio,Morrow,2017,1241,345080,245978,19765,91633,703697
Missouri,Cedar,2015,4141,26131,20656,54282,160803,266013
Indiana,Jefferson,2016,5878,172534,59115,10753,59630,307910
Nebraska,Greeley,2015,1014,179855,359641,44739,101324,686573
Kentucky,Franklin,2009,70,2316,3088,17780,106374,129628
Illinois,Fulton,2018,571,553560,587263,19658,265088,1426140
Virginia,Hanover,2010,6719,92885,76291,74627,124807,375329
Ohio,Morrow,2018,336,349164,243742,28222,82233,703697
Texas,Freestone,2011,402,1385,5250,255,113666,120958
Florida,Gulf,2012,4671,1040,2049,4405,12202,24367
Pennsylvania,Bradford,2011,22545,6941,126028,814337,206958,1176809
Kentucky,Franklin,2010,11,3695,3051,25854,97017,129628
Kansas,Logan,2018,411572,1603,1154053,3067,85508,1655803
Missouri,Cedar,2016,71,31930,23808,57801,152403,266013
Indiana,Jefferson,2017,4429,169276,66055,11822,56328,307910
Nebraska,Greeley,2016,1723,191003,350381,42153,101313,686573
Kentucky,Franklin,2011,0,4363,5590,842,118833,129628
Kentucky,Franklin,2012,0,7914,5975,455,115284,129628
Virginia,Hanover,2011,2919,86487,43549,47043,195331,375329
Massachusetts,Barnstable,2013,783,0,814,9768,38280,49645
Florida,Gulf,2013,763,1137,142,749,21576,24367
Missouri,Cedar,2017,293,34328,21006,51923,158463,266013
Kentucky,Franklin,2013,5,5642,6899,10285,106797,129628
Indiana,Jefferson,2018,6,197634,42155,14897,53218,307910
Nebraska,Greeley,2017,324,204100,342943,43221,95985,686573
Kentucky,Franklin,2014,0,8084,6247,4068,111229,129628
Missouri,Cedar,2018,21,38260,19470,70685,137577,266013
Florida,Gulf,2014,1076,821,160,2069,20241,24367
Virginia,Hanover,2012,5041,76005,60772,53389,180122,375329
Kentucky,Franklin,2015,0,10502,7455,37385,74286,129628
Georgia,Dougherty,2009,99283,29282,18793,89610,136087,373055
Nebraska,Greeley,2018,369,207574,344801,45832,87997,686573
Texas,Freestone,2012,391,4323,8975,77,107192,120958
Kentucky,Franklin,2016,63,11211,6838,39974,71542,129628
South Dakota,Harding,2009,23786,394,227454,490111,694358,1436103
Pennsylvania,Bradford,2012,22208,5980,131747,843668,173206,1176809
Minnesota,Benton,2009,1323,121216,277230,53576,291920,745265
Florida,Gulf,2015,1541,748,1119,691,20268,24367
Kentucky,Franklin,2017,0,8977,7654,33961,79036,129628
Georgia,Dougherty,2010,39107,32905,12519,87989,200535,373055
Massachusetts,Barnstable,2014,1206,4,1304,12600,34531,49645
Virginia,Hanover,2013,8447,87530,54548,73310,151494,375329
Kentucky,Franklin,2018,8,11797,6488,33632,77703,129628
Georgia,Dougherty,2011,53808,40040,12350,88501,178356,373055
Minnesota,Benton,2010,787,132317,250626,52554,308981,745265
Florida,Gulf,2016,1838,900,471,938,20220,24367
Georgia,Dougherty,2012,57049,27170,18129,104751,165956,373055
Minnesota,Benton,2011,5857,166044,293743,184227,95394,745265
Virginia,Hanover,2014,6393,94271,55504,75430,143731,375329
Texas,Freestone,2013,59,141,1958,32674,86126,120958
Florida,Gulf,2017,176,521,994,3279,19397,24367
Georgia,Dougherty,2013,64598,33451,19421,81380,174205,373055
Pennsylvania,Bradford,2013,15477,5436,112239,555493,488164,1176809
Minnesota,Benton,2012,3103,128364,337940,185908,89950,745265
Ohio,Jackson,2009,938,9819,8503,28036,127736,175032
Massachusetts,Barnstable,2015,2002,0,390,11372,35881,49645
Georgia,Dougherty,2014,54836,28713,16112,107400,165994,373055
Indiana,Randolph,2009,201,518696,472614,9780,79899,1081190
Florida,Gulf,2018,1373,1308,816,3042,17828,24367
Minnesota,Benton,2013,2298,139369,334508,142254,126836,745265
Virginia,Hanover,2015,12285,103661,46591,103085,109707,375329
Illinois,Greene,2009,2611,354847,536984,2879,202621,1099942
Ohio,Jackson,2010,453,10748,7466,23846,132519,175032
North Carolina,Franklin,2009,8028,96719,14241,24983,255046,399017
Georgia,Dougherty,2015,83292,32285,17206,100918,139354,373055
Indiana,Randolph,2010,246,515247,453670,10544,101483,1081190
Minnesota,Benton,2014,7828,121879,330981,207367,77210,745265
Illinois,Greene,2010,252,368121,537000,5958,188611,1099942
Ohio,Jackson,2011,1244,13004,8336,1066,151382,175032
Georgia,Dougherty,2016,83562,32633,17127,101351,138382,373055
North Carolina,Franklin,2010,22426,111391,15064,31622,218514,399017
Virginia,Hanover,2016,17542,101858,51083,83997,120849,375329
Texas,Freestone,2014,179,280,1863,26119,92517,120958
South Dakota,Harding,2010,22189,817,198206,473428,741463,1436103
Indiana,Randolph,2011,1300,528115,458518,8624,84633,1081190
Ohio,Jackson,2012,542,12666,12893,35255,113676,175032
Minnesota,Benton,2015,5048,149851,318679,145320,126367,745265
Georgia,Dougherty,2017,24145,34337,13933,149716,150924,373055
Pennsylvania,Bradford,2014,16129,7987,115541,587246,449906,1176809
Illinois,Greene,2011,99,363477,613541,87015,35810,1099942
Arkansas,Crawford,2009,2424,58742,13254,3972,64492,142884
Massachusetts,Barnstable,2016,5855,0,543,5269,37978,49645
Indiana,Randolph,2012,118,494195,502468,12832,71577,1081190
Georgia,Dougherty,2018,60,56849,15966,145628,154552,373055
Minnesota,Benton,2016,1758,169325,300598,146360,127224,745265
Virginia,Hanover,2017,2370,98185,61102,88129,125543,375329
North Carolina,Franklin,2011,40431,110067,11153,29750,207616,399017
Kentucky,Green,2009,5,15326,25698,150672,195958,387659
Ohio,Jackson,2013,432,14358,11980,45639,102623,175032
Missouri,Clark,2009,18869,327481,221023,72489,185723,825585
Illinois,Greene,2012,22,371412,535172,5520,187816,1099942
Arkansas,Crawford,2010,1828,63078,9761,301,67916,142884
Indiana,Randolph,2013,189,495542,492020,9562,83877,1081190
Minnesota,Benton,2017,16569,188842,270858,149033,119963,745265
Ohio,Jackson,2014,464,19593,9969,33940,111066,175032
Kentucky,Green,2010,0,19050,26508,126057,216044,387659
Missouri,Clark,2010,32,221315,269264,161,334813,825585
Virginia,Hanover,2018,1528,105050,50522,101253,116976,375329
Illinois,Greene,2013,26,411174,481272,4283,203187,1099942
Indiana,Randolph,2014,29,525412,472488,13748,69513,1081190
North Carolina,Franklin,2012,37514,110549,16787,130147,104020,399017
Ohio,Jackson,2015,516,19828,12185,40783,101720,175032
Arkansas,Crawford,2011,21998,64451,8648,1,47786,142884
Minnesota,Benton,2018,1135,182608,277337,164678,119507,745265
Kentucky,Green,2011,0,21348,29524,811,335976,387659
Texas,Freestone,2015,637,38,2370,9199,108714,120958
Kansas,Lyon,2009,1857,344556,142481,55535,346009,890438
Missouri,Clark,2011,86,268838,230586,24,326051,825585
Ohio,Jackson,2016,870,18952,12928,34056,108226,175032
Indiana,Randolph,2015,23512,515963,463322,14467,63926,1081190
Pennsylvania,Bradford,2015,18850,15026,119332,751061,272540,1176809
Massachusetts,Barnstable,2017,3405,0,1474,6693,38073,49645
North Carolina,Franklin,2013,29157,120654,20070,131542,97594,399017
Arkansas,Crawford,2012,9892,59814,9042,2,64134,142884
Illinois,Greene,2014,14,395111,518800,6219,179798,1099942
Kentucky,Green,2012,0,24613,36701,831,325514,387659
Ohio,Jackson,2017,1181,20679,12652,46388,94132,175032
Indiana,Randolph,2016,6,510158,494593,16381,60052,1081190
Kansas,Lyon,2010,2242,328536,134502,6829,418329,890438
Missouri,Clark,2012,109,278697,256954,50529,239296,825585
Nebraska,Grant,2009,35,0,2609,3094,12448,18186
Kentucky,Green,2013,4,30337,33020,69181,255117,387659
North Carolina,Franklin,2014,26836,119721,10042,126217,116201,399017
Ohio,Jackson,2018,147,22396,10738,62096,79655,175032
Illinois,Greene,2015,7588,394813,532632,9014,155895,1099942
Arkansas,Crawford,2013,5867,61862,17158,1,57996,142884
Indiana,Randolph,2017,49,540760,466182,13519,60680,1081190
Kentucky,Green,2014,0,40404,36881,43979,266395,387659
Missouri,Clark,2013,582,296640,245769,46547,236047,825585
Kansas,Lyon,2011,712,319594,178197,11902,380033,890438
South Dakota,Harding,2011,25632,751,214002,518349,677369,1436103
Nebraska,Grant,2010,1,0,165,1150,16870,18186
Illinois,Greene,2016,15,401925,535897,8220,153885,1099942
Indiana,Randolph,2018,24,541488,463273,17546,58859,1081190
Arkansas,Crawford,2014,21,60754,12296,0,69813,142884
Texas,Freestone,2016,3633,225,2128,8606,106366,120958
Kentucky,Green,2015,34,55503,32203,164972,134947,387659
Texas,Jim Hogg,2009,5352,837,18727,6746,41078,72740
North Carolina,Franklin,2015,15875,127279,10343,77852,167668,399017
Pennsylvania,Bradford,2016,9162,19163,129722,725968,292794,1176809
Massachusetts,Barnstable,2018,3886,0,1322,7819,36618,49645
Missouri,Clark,2014,189,262825,283876,46908,231787,825585
Illinois,Greene,2017,6,424207,517453,5528,152748,1099942
Kentucky,Green,2016,1,51013,37331,161775,137539,387659
Nebraska,Grant,2011,39,4,602,1360,16181,18186
Kansas,Lyon,2012,784,303114,171746,7246,407548,890438
Arkansas,Crawford,2015,23469,50727,7944,12053,48691,142884
North Carolina,Franklin,2016,8969,113668,21345,101609,153426,399017
Missouri,Clark,2015,108584,190898,265108,52778,208217,825585
Illinois,Greene,2018,7,460094,479278,10079,150484,1099942
Kentucky,Green,2017,20,54699,30486,155291,147163,387659
Texas,Jim Hogg,2010,630,33,2208,115,69754,72740
Nebraska,Grant,2012,127,0,2524,5036,10499,18186
Arkansas,Crawford,2016,1777,73481,8729,6840,52057,142884
Missouri,Clark,2016,2,287940,293265,62599,181779,825585
Kansas,Lyon,2013,2329,279855,238564,253840,115850,890438
Kentucky,Green,2018,11,60857,31664,148656,146471,387659
North Carolina,Franklin,2017,8665,115165,23930,109595,141662,399017
Nebraska,Grant,2013,29,0,1662,2572,13923,18186
Texas,Freestone,2017,1397,337,3810,11161,104253,120958
West Virginia,Pocahontas,2009,41,30,4136,63879,94832,162918
Pennsylvania,Bradford,2017,8287,24783,112959,798897,231883,1176809
Texas,Jim Hogg,2011,14901,275,5907,262,51395,72740
Arkansas,Crawford,2017,2773,75561,7011,7818,49721,142884
Missouri,Clark,2017,675,305524,272720,76626,170040,825585
North Carolina,Franklin,2018,8208,115926,24039,112875,137969,399017
Virginia,Highland,2009,26,32,1150,36483,37898,75589
Nebraska,Grant,2014,4,0,537,4588,13057,18186
Kansas,Lyon,2014,416,280176,165007,47786,397053,890438
Ohio,Crawford,2009,167,429234,409588,20195,60587,919771
Georgia,Worth,2009,141569,254166,76300,191761,161520,825316
South Dakota,Harding,2012,15830,117,201589,482029,736538,1436103
Missouri,Clark,2018,273,310557,282810,82626,149319,825585
Virginia,Highland,2010,56,31,409,10346,64747,75589
Texas,Jim Hogg,2012,208,90,331,50,72061,72740
Arkansas,Crawford,2018,231,79931,7492,9630,45600,142884
Nebraska,Grant,2015,38,70,322,2847,14909,18186
Ohio,Crawford,2010,350,423844,407002,15208,73367,919771
Kansas,Lyon,2015,4949,333479,173026,43034,335950,890438
Georgia,Worth,2010,50774,268898,23004,165791,316849,825316
Virginia,Highland,2011,57,9,543,11677,63303,75589
Ohio,Crawford,2011,175,414061,392720,16228,96587,919771
West Virginia,Pocahontas,2010,81,15,2871,40274,119677,162918
Nebraska,Grant,2016,21,1,325,2689,15150,18186
Pennsylvania,Bradford,2018,9550,21642,137673,793649,214295,1176809
Kansas,Lyon,2016,1506,345331,166597,54799,322205,890438
Virginia,Highland,2012,22,62,1003,10851,63651,75589
Texas,Jim Hogg,2013,54,24,388,2884,69390,72740
Texas,Freestone,2018,481,1577,3792,17865,97243,120958
Ohio,Crawford,2012,614,391373,430975,13956,82853,919771
Georgia,Worth,2011,64650,329876,33481,118893,278416,825316
Nebraska,Grant,2017,13,0,253,2404,15516,18186
Virginia,Highland,2013,62,9,978,18899,55641,75589
Ohio,Crawford,2013,657,423064,404871,17599,73580,919771
Illinois,Henderson,2009,6417,239918,438670,3313,120066,808384
Kansas,Lyon,2017,1,381178,141917,42343,324999,890438
Georgia,Worth,2012,57483,249847,34607,210712,272667,825316
Ohio,Crawford,2014,1115,426931,399460,17858,74407,919771
Nebraska,Grant,2018,56,4,760,3038,14328,18186
Kentucky,Henry,2009,159,16076,6740,21357,248720,293052
Texas,Jim Hogg,2014,80,3,578,3982,68097,72740
Virginia,Highland,2014,70,111,1093,22147,52168,75589
Illinois,Henderson,2010,107,233419,462565,4851,107442,808384
Minnesota,Carlton,2009,235,668,5558,19609,199167,225237
West Virginia,Pocahontas,2011,80,16,1482,41394,119946,162918
Ohio,Crawford,2015,1693,459994,380602,19032,58450,919771
Indiana,LaPorte,2009,410,375496,553992,16290,110857,1057045
Kentucky,Henry,2010,0,16134,4773,21619,250526,293052
Kansas,Lyon,2018,10,380354,143465,59857,306752,890438
Georgia,Worth,2013,123766,312163,51038,151417,186932,825316
Virginia,Highland,2015,137,30,1324,30173,43925,75589
Illinois,Henderson,2011,234,243979,480013,49334,34824,808384
North Carolina,Gates,2009,3349,181308,42741,10293,24469,262160
Florida,Lee,2009,427,0,1313,91230,115976,208946
Ohio,Crawford,2016,647,455931,383612,18692,60889,919771
South Dakota,Harding,2013,12469,195,180089,398984,844366,1436103
Minnesota,Carlton,2010,377,512,5061,14019,205268,225237
Texas,Jim Hogg,2015,23,1,1344,2734,68638,72740
Missouri,Clinton,2009,751,208101,160081,71303,240552,680788
Kentucky,Henry,2011,0,13109,6723,651,272569,293052
