state,county,year,NonCrop,GM,Tolerant,Vulnerable,Unclassified,total
North Carolina,Warren,2018,28549,54939,14341,68077,106976,272882
South Dakota,Brown,2015,74284,1442972,1531906,173950,1117599,4340711
West Virginia,Logan,2015,0,2,23,749,3043,3817
Illinois,Sangamon,2010,242,596842,1102575,6343,202571,1908573
Arkansas,Searcy,2015,0,9,28,3200,14386,17623
Kentucky,Shelby,2015,64,128580,76590,109954,204383,519571
Indiana,Posey,2014,100,348842,386022,4714,79145,818823
Missouri,Jasper,2011,3,222837,110246,785,389257,723128
West Virginia,Logan,2016,2,0,1,611,3203,3817
Arkansas,Searcy,2016,0,2,18,6077,11526,17623
Kansas,Barber,2009,13065,28282,680561,33832,146469,902209
Minnesota,Otter Tail,2013,2771,758862,1045943,595912,558176,2961664
Indiana,Posey,2015,1459,371337,375536,6233,64258,818823
Missouri,Jasper,2012,17,201951,135035,72599,313526,723128
Kentucky,Shelby,2016,5,118263,90673,100222,210408,519571
Alabama,DeKalb,2012,736,65076,56664,91526,409094,623096
West Virginia,Logan,2017,0,0,7,959,2851,3817
Arkansas,Searcy,2017,65,31,18,6880,10629,17623
Illinois,Sangamon,2011,517,543776,1225486,87347,51447,1908573
Florida,Osceola,2016,235,0,393,75268,160800,236696
Pennsylvania,Erie,2009,82693,61769,152585,251875,288353,837275
Indiana,Posey,2016,3329,367912,380978,2177,64427,818823
Missouri,Jasper,2013,427,257422,89192,92434,283653,723128
South Dakota,Brown,2016,5853,1531382,1591351,168479,1043646,4340711
Nebraska,Seward,2009,378,495240,606692,28291,158974,1289575
Kentucky,Shelby,2017,0,130538,69452,93267,226314,519571
Texas,Roberts,2009,17789,6980,101699,1050,113221,240739
Arkansas,Searcy,2018,7,43,7,7733,9833,17623
Kansas,Barber,2010,20473,43354,687311,33218,117853,902209
West Virginia,Logan,2018,3,1,11,864,2938,3817
Indiana,Posey,2017,354,374797,377219,2656,63797,818823
Kentucky,Shelby,2018,319,132011,79164,105998,202079,519571
Missouri,Jasper,2014,45,208762,152032,77063,285226,723128
Nebraska,Seward,2010,105,482270,587058,18092,202050,1289575
Texas,Roberts,2010,19596,13528,89197,622,117796,240739
Alabama,DeKalb,2013,883,65756,53621,57770,445066,623096
Illinois,Sangamon,2012,33,579494,1104435,7237,217374,1908573
Indiana,Posey,2018,512,393438,358229,4445,62199,818823
Missouri,Jasper,2015,15371,196299,171848,80041,259569,723128
