"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",663,9,2477,1,3309
"GM",11,0,1635,0,328
"Tolerant",1652,439,209872,449,64954
"Vulnerable",16,0,1019,373,1091
"Unclassified",3728,87,82579,270,420539
