"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",57,260,349,8144
"GM",0,0,1,0
"Tolerant",25,663,4359,8780
"Vulnerable",67,1615,173427,244831
"Unclassified",354,2513,42370,68160
