"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1850,1141,2281,13,14683
"GM",882,9196,3065,2,5010
"Tolerant",9005,22115,52771,25,41081
"Vulnerable",55,96,364,1,815
"Unclassified",21595,10568,38196,398,507086
