"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",53444,1,287277,33407,20562
"GM",0,0,1,3,4
"Tolerant",235398,29,156253,119792,42360
"Vulnerable",11640,11,59402,252875,191133
"Unclassified",46910,11,68685,72025,433453
