"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",8,4,19,144
"GM",7767,4179,828,2997
"Tolerant",5786,1445,984,2232
"Vulnerable",591,700,6628,12116
"Unclassified",3017,2920,22272,41289
