"","NonCrop","Tolerant","Vulnerable","Unclassified"
"NonCrop",9345,1790,6682,88
"Tolerant",10723,4551,21135,367
"Vulnerable",16914,21768,145124,2418
"Unclassified",10442,4504,11525,148537
