"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",1,1,1,27
"GM",4624,103828,1036,32724
"Tolerant",102102,273785,2216,125496
"Vulnerable",630,7145,14513,163729
"Unclassified",1292,13162,2368,53013
