"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",6052,52,15113,9796
"GM",59,0,105,49
"Tolerant",13019,21,30868,12962
"Vulnerable",12,0,7,174
"Unclassified",11760,128,17456,27468
