"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,1,0,1
"GM",0,107,1601,61,519
"Tolerant",3,607,1703,252,1685
"Vulnerable",0,128,79,15297,19350
"Unclassified",0,177,49,837,24662
