"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",93,6,55,13,2605
"GM",5,3,11,0,343
"Tolerant",38,4,61,1,1230
"Vulnerable",0,0,0,0,67
"Unclassified",1693,164,732,17,15394
