"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",15,33,21,82,2794
"GM",10,74,22,22,363
"Tolerant",26,71,411,68,1124
"Vulnerable",151,752,167,3119,27680
"Unclassified",984,1243,712,5836,84593
