"","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",0,0,0,4
"GM",9175,29240,374,3160
"Tolerant",33849,10143,498,6122
"Vulnerable",828,1244,17291,31960
"Unclassified",10980,9154,19788,171040
