"","NonCrop","GM","Tolerant","Unclassified"
"NonCrop",44,407,953,8278
"GM",697,4309,6442,6140
"Tolerant",55,730,223,6871
"Vulnerable",0,2,0,3
"Unclassified",738,1759,3437,106471
