"","NonCrop","GM","Tolerant","Vulnerable","Unclassified"
"NonCrop",21,1,12,46,253
"GM",41,1378,5388,855,1039
"Tolerant",86,7056,12567,2875,3651
"Vulnerable",177,678,4315,25742,38112
"Unclassified",234,741,5620,34306,86162
